2264	1061	1361
2265	1061	1169
2295	1083	1259
2302	1089	1498
2303	1089	1429
2309	1096	1468
2310	1096	1582
2339	1121	1633
2346	1127	1397
2356	1136	1768
2357	1136	1756
2358	1136	1503
2362	1142	1572
2363	1142	1380
2389	1166	1629
2390	1166	1762
2391	1760	1166
2412	1184	1710
2413	1187	1769
2414	1187	1609
2416	1187	1444
2427	1196	1778
2428	1196	1698
2456	1217	1600
2457	1217	1546
2458	1219	1739
2462	1225	1869
2463	1225	1897
2475	1232	1271
2476	1232	1698
2477	1232	1644
2479	1237	1809
2480	1237	1340
2482	1238	1384
2483	1241	1477
2484	1241	1377
2501	1256	1321
2502	1258	1657
2503	1259	1730
2504	1259	1410
2510	1264	1482
2511	1265	1894
2512	1266	1846
2513	1266	1766
2519	1271	1752
2520	1271	1742
2524	1276	1796
2525	1276	1605
2526	1278	1657
2527	1278	1564
2531	1281	1575
2542	1293	1389
2543	1293	1397
2560	1306	1428
2561	1306	1774
2562	1308	1573
2574	1316	1808
2575	1318	1672
2576	1318	1409
2578	1320	1769
2579	1320	1393
2580	1321	1346
2581	1321	1360
2582	1323	1385
2583	1323	1483
2590	1331	1515
2591	1331	1346
2592	1331	1551
2594	1336	1830
2595	1336	1701
2598	1340	1821
2599	1341	1701
2621	1360	1757
2622	1360	1800
2623	1361	1465
2628	1364	1786
2647	1894	1380
2648	1380	1584
2649	1383	1423
2650	1383	1717
2651	1383	1634
2652	1383	1803
2653	1384	1578
2656	1389	1564
2659	1393	1648
2660	1393	1582
2661	1396	1509
2665	1400	1762
2666	1400	1404
2667	1400	1796
2670	1404	1647
2671	1405	1687
2672	1407	1586
2673	1409	1687
2675	1412	1856
2676	1412	1482
2682	1419	1839
2683	1420	1808
2686	1420	1772
2688	1423	1454
2689	1423	1649
2694	1428	1860
2695	1428	1671
2696	1429	1597
2697	1429	1633
2707	1437	1690
2708	1439	1493
2709	1439	1793
2714	1444	1582
2715	1444	1600
2716	1445	1553
2717	1445	1841
2729	1454	1719
2730	1454	1717
2738	1461	1724
2739	1461	1542
2740	1496	1463
2741	1463	1715
2743	1465	1612
2744	1465	1600
2745	1465	1546
2748	1467	1856
2749	1467	1482
2750	1468	1759
2751	1468	1648
2752	1557	1469
2754	1469	1837
2760	1476	1596
2765	1483	1585
2766	1484	1865
2767	1484	1652
2768	1484	1719
2780	1493	1547
2781	1493	1550
2784	1495	1498
2785	1495	1693
2786	1496	1655
2800	1509	1691
2808	1514	1717
2809	1514	1685
2810	1514	1803
2811	1515	1626
2812	1515	1605
2816	1520	1897
2817	1520	1660
2822	1526	1847
2823	1526	1745
2837	1536	1542
2838	1536	1858
2839	1536	1730
2843	1542	1742
2847	1550	1793
2849	1553	1821
2850	1553	1795
2858	1564	1567
2862	1567	1657
2863	1568	1783
2864	1568	1795
2869	1573	1660
2870	1894	1574
2871	1574	1610
2873	1575	1768
2882	1584	1610
2883	1584	1866
2885	1586	1787
2886	1586	1751
2894	1596	1786
2896	1597	1693
2897	1597	1633
2903	1605	1710
2904	1608	1760
2905	1796	1608
2907	1610	1715
2908	1612	1696
2919	1629	1836
2922	1633	1675
2923	1634	1649
2924	1635	1770
2925	1635	1830
2932	1643	1751
2933	1643	1864
2934	1644	1742
2935	1644	1724
2938	1652	1839
2939	1655	1711
2951	1671	1774
2952	1672	1696
2954	1674	1742
2960	1685	1892
2961	1685	1745
2969	1698	1724
2972	1701	1706
2975	1704	1710
2976	1704	1752
2977	1706	1830
2979	1708	1736
2980	1708	1766
2982	1711	1777
2988	1721	1739
2996	1738	1756
2998	1738	1840
3001	1744	1768
3003	1751	1800
3006	1762	1866
3008	1766	1836
3014	1777	1847
3015	1778	1800
3016	1783	1837
3020	1793	1897
3021	1795	1841
3023	1800	1864
3028	1809	1837
3029	1809	1821
3038	1839	1865
3039	1840	1858
3040	1841	1859
3042	1847	1892
3168	86	40
3169	142	40
3170	832	40
3238	1409	69
3239	1672	69
3240	1627	69
3241	991	69
3288	972	86
3289	212	86
3322	1607	97
3323	1012	97
3324	1477	97
3325	1377	97
3358	708	110
3359	124	110
3361	1298	110
3362	1869	111
3363	1096	111
3394	637	124
3395	1241	124
3396	886	124
3397	584	125
3399	1385	125
3413	1629	130
3415	1281	130
3439	1612	139
3445	972	142
3446	604	142
3447	790	142
3473	886	153
3474	872	153
3475	865	153
3486	1551	158
3487	1752	158
3488	1196	158
3489	1232	158
3522	1738	172
3523	1856	172
3559	1515	186
3560	1710	186
3561	1551	186
3562	1752	186
3617	1000	212
3650	1043	226
3651	1321	226
3652	1608	227
3653	806	227
3654	1276	227
3655	1184	227
3744	953	266
3745	1836	266
3746	651	266
3771	1841	278
3772	1568	278
3773	1572	278
3774	1265	278
3800	1739	291
3801	1547	291
3802	958	291
3803	1647	292
3804	1626	292
3805	1256	292
3806	1331	292
3830	1503	305
3831	1756	305
3832	1674	305
3833	1840	305
3855	1526	317
3856	1787	317
3857	1407	317
3880	442	330
3881	1721	330
3882	1691	331
3883	1396	331
3884	917	331
3899	604	342
3900	797	342
3901	874	342
3942	1437	364
3943	725	364
3944	1672	364
3945	1612	364
3946	718	365
3947	1410	365
3948	399	365
3979	925	381
3980	1837	381
3981	1509	381
4011	796	399
4057	1516	420
4058	1498	420
4059	1033	420
4080	1385	430
4081	830	430
4092	1306	435
4093	1808	435
4094	1772	435
4109	1049	442
4110	604	442
4114	1704	444
4115	1503	444
4116	1271	444
4117	1674	444
4192	1514	476
4193	1745	476
4194	1407	476
4195	921	476
4222	1715	489
4223	981	489
4224	1256	489
4282	1859	515
4344	1859	542
4345	1419	542
4346	1865	542
4358	1634	548
4359	1803	548
4382	1000	559
4383	667	559
4417	925	579
4418	1846	579
4419	1396	579
4428	1061	584
4429	956	584
4430	1127	584
4440	953	588
4441	1238	588
4460	1675	602
4461	1121	602
4465	1049	604
4479	1169	611
4480	1127	611
4481	949	611
4488	1856	615
4489	1336	615
4490	1341	615
4491	967	615
4523	820	633
4524	1724	633
4525	785	633
4530	716	637
4531	1477	637
4532	708	637
4533	1012	638
4534	928	638
4535	1377	638
4536	1405	638
4541	1340	641
4542	1445	641
4551	928	647
4552	1308	647
4553	1405	647
4554	709	647
4562	1578	651
4575	1711	659
4576	1751	659
4577	1404	660
4578	1626	660
4587	832	667
4588	790	667
4606	1719	677
4607	1892	677
4608	1685	677
4661	1573	709
4662	1318	709
4669	1575	713
4670	1184	713
4674	772	716
4677	1730	718
4678	1482	718
4679	796	718
4683	1476	721
4684	1266	721
4685	1708	721
4690	790	727
4691	979	727
4692	1007	727
4711	1516	741
4713	1498	741
4714	1495	741
4739	1719	760
4740	1655	760
4745	1520	768
4746	928	768
4747	1308	768
4752	1607	772
4753	1477	772
4757	1009	774
4758	1176	774
4759	1083	774
4762	1652	776
4772	1643	785
4774	1176	785
4785	874	790
4795	1264	796
4797	1721	797
4798	1219	797
4809	1281	806
4836	1778	820
4837	1698	820
4848	960	827
4849	1770	827
4850	1860	827
4856	1000	832
4884	1649	847
4885	1609	847
4896	1858	855
4897	1412	855
4898	1730	855
4901	1897	858
4902	984	858
4903	1660	858
4918	1627	865
4919	1298	865
4920	1258	865
4927	1706	869
4928	1671	869
4933	970	872
4934	1687	872
4935	1627	872
4937	1219	874
4938	979	874
4958	970	886
4962	1783	889
4963	1691	889
4964	917	889
4970	1627	893
4971	1567	893
4972	1258	893
4984	1660	900
4985	1437	900
4986	1318	900
4991	1184	904
4992	1744	904
4993	1704	904
4994	1503	904
5017	1568	917
5018	1572	917
5024	1803	921
5027	974	925
5028	1044	925
5030	1550	928
5044	1419	938
5045	1574	938
5056	1346	946
5057	1551	946
5058	1196	946
5061	1040	949
5062	1397	949
5063	1389	949
5067	1736	953
5068	1578	953
5071	1361	956
5072	1546	956
5075	979	958
5076	1007	958
5078	1316	960
5079	1428	960
5089	1467	967
5094	1241	970
5095	1405	970
5100	1364	974
5109	1584	981
5110	1647	981
5114	1225	984
5115	1096	984
5124	1696	991
5125	1169	991
5126	1567	991
5131	1635	995
5132	1860	995
5133	1671	995
5134	1706	995
5151	1461	1009
5152	1536	1009
5153	1259	1009
5156	1057	1012
5180	1089	1033
5181	1483	1033
5191	1169	1040
5192	1564	1040
5194	1655	1043
5195	1757	1043
5196	1476	1044
5197	1846	1044
5208	1547	1057
5209	1607	1057
5215	1696	1061
5216	1361	1061
5217	1169	1061
5244	1259	1083
5248	1498	1089
5249	1429	1089
5254	1468	1096
5255	1582	1096
5282	1633	1121
