Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length
4989,1511,104.0291032,30.63837159,903,104.0307816,30.63957267,208.7901995
4990,1517,104.0291648,30.64095505,903,104.0307816,30.63957267,217.9040005
4991,1184,104.0792781,30.66658936,904,104.0802769,30.66813158,195.8858017
4992,1744,104.0819461,30.66728632,904,104.0802769,30.66813158,185.3371688
4993,1704,104.0784525,30.66903116,904,104.0802769,30.66813158,201.2208564
4994,1503,104.0811962,30.66967255,904,104.0802769,30.66813158,192.1580615
4995,1884,104.0521159,30.62375978,905,104.0549769,30.62263487,301.2333071
4996,948,104.1130701,30.62038703,906,104.1126334,30.62215442,200.2972941
4997,983,104.11696,30.62233282,906,104.1126334,30.62215442,415.1675606
4998,1046,104.1096745,30.62304108,906,104.1126334,30.62215442,300.1522734
4999,1545,104.1144887,30.62671291,906,104.1126334,30.62215442,535.5904369
5000,1357,104.0558211,30.72479253,907,104.0579489,30.71528136,1073.645512
5001,1394,104.07187,30.70269426,908,104.0719292,30.70511218,268.0395683
5002,1621,104.0637486,30.70517334,908,104.0719292,30.70511218,783.4679732
5003,1613,104.0380171,30.67190239,910,104.038017,30.67271158,89.68328444
5004,1779,104.0326736,30.67337488,910,104.038017,30.67271158,517.1541842
5005,1899,104.0380169,30.67482664,910,104.038017,30.67271158,234.4148446
5006,1072,104.1010221,30.64333997,911,104.0983198,30.64447256,287.772369
5007,1470,104.0987232,30.64521317,911,104.0983198,30.64447256,90.72935611
5008,1518,104.0964616,30.64524213,911,104.0983198,30.64447256,197.435632
5009,926,104.0434786,30.60525631,912,104.0470481,30.60795889,454.7658268
5010,1209,104.0468563,30.60374601,912,104.0470481,30.60795889,467.2752251
5011,1191,104.0514275,30.61130347,912,104.0470481,30.60795889,560.0473473
5012,1222,104.0716805,30.60578435,913,104.0716051,30.60650411,80.09770767
5013,1642,104.0642488,30.69975695,914,104.0672903,30.69928595,295.9341185
5014,1874,104.1347948,30.67503343,915,104.1241629,30.68298904,1347.101366
5015,1056,103.975131,30.6588855,916,103.9749723,30.66252693,403.8751156
5016,1021,103.9748388,30.66471229,916,103.9749723,30.66252693,242.5459691
5017,1568,104.063511,30.65498885,917,104.0664825,30.65485151,285.1267412
5018,1572,104.0679573,30.65714859,917,104.0664825,30.65485151,291.1754312
5019,1780,104.1362858,30.62448308,918,104.1340428,30.62526002,231.5828176
5020,1638,104.1352029,30.62718758,918,104.1340428,30.62526002,240.8326967
5021,926,104.0434786,30.60525631,919,104.0419633,30.60947907,490.0332574
5022,1287,104.0696463,30.60460144,920,104.0684345,30.60474509,117.2556025
5023,1239,104.0650829,30.60485238,920,104.0684345,30.60474509,321.5269798
5024,1803,104.0514072,30.67709606,921,104.0552225,30.6801717,499.7699857
5025,1504,104.0535507,30.68136594,921,104.0552225,30.6801717,207.7638298
5026,951,103.956184,30.67458422,923,103.951201,30.67450041,477.4603998
5027,974,104.0725542,30.64772127,925,104.0724705,30.6485309,90.08936031
5028,1044,104.0751968,30.64830309,925,104.0724705,30.6485309,262.4651613
5029,1074,104.0750659,30.59133644,927,104.0717634,30.59121614,316.9223562
5030,1550,104.0077715,30.67693868,928,104.0094376,30.67908282,286.2638424
5031,1382,104.0777751,30.69046771,929,104.0741314,30.69052755,349.0634894
5032,1370,104.0742895,30.69705339,929,104.0741314,30.69052755,723.4211976
5033,1700,104.0312907,30.64635526,931,104.0350085,30.64701254,363.6314208
5034,1875,104.0387774,30.64694972,931,104.0350085,30.64701254,361.2263483
5035,1008,104.0349293,30.64918505,931,104.0350085,30.64701254,240.9005755
5036,1832,104.0865447,30.64375218,932,104.0818673,30.64545371,486.2760089
5037,1824,104.0804742,30.64586314,932,104.0818673,30.64545371,140.9939866
5038,1245,104.0578993,30.60270356,933,104.0578707,30.60543778,303.0450021
5039,1352,104.1220034,30.60393124,934,104.1244253,30.60617433,340.1581551
5040,1168,104.1224601,30.60779753,934,104.1244253,30.60617433,260.4852653
5041,955,104.1276807,30.60790258,934,104.1244253,30.60617433,366.1673566
5042,1549,104.0269243,30.73325654,935,104.0219287,30.73010679,592.1419628
5043,1116,104.0818796,30.69184404,936,104.0801761,30.68922895,332.603298
5044,1419,104.0602277,30.66075741,938,104.0617125,30.66071793,142.3240728
5045,1574,104.0649632,30.6607499,938,104.0617125,30.66071793,311.4766587
5046,1148,104.1134892,30.63265318,939,104.109586,30.63629375,550.2045592
5047,1728,104.1070034,30.63859978,939,104.109586,30.63629375,355.772862
5048,1130,104.1152974,30.64211152,939,104.109586,30.63629375,845.7654619
5049,1067,104.0927252,30.59715528,941,104.0946732,30.59714389,186.763222
5050,1151,104.0096791,30.72093684,942,104.0068158,30.72585148,609.8074011
5051,1218,104.0866428,30.70587452,943,104.0886043,30.70813837,313.4265779
5052,1294,104.0898329,30.70899025,943,104.0886043,30.70813837,150.8525007
5053,1544,104.0385394,30.66145875,945,104.0381346,30.66861573,794.1630163
5054,1863,104.0349573,30.67009888,945,104.0381346,30.66861573,345.9457422
5055,1613,104.0380171,30.67190239,945,104.0381346,30.66861573,364.4378115
5056,1346,104.0694782,30.66964496,946,104.0707136,30.67059491,158.4023268
5057,1551,104.0723581,30.66972895,946,104.0707136,30.67059491,184.4806029
5058,1196,104.0715214,30.67202107,946,104.0707136,30.67059491,175.9906607
5059,1215,104.0451326,30.59689568,947,104.0481868,30.59674836,293.2852593
5060,1307,104.1153558,30.62095961,948,104.1130701,30.62038703,228.0938735
5061,1040,104.0115999,30.69535576,949,104.0133461,30.69733246,275.6198388
5062,1397,104.0147331,30.69819801,949,104.0133461,30.69733246,163.8579231
5063,1389,104.0114888,30.69862622,949,104.0133461,30.69733246,228.4788358
5064,1090,104.1024344,30.70177664,950,104.1014792,30.70351697,213.4734975
5065,1418,104.1031337,30.70349434,950,104.1014792,30.70351697,158.4659146
5066,1845,104.0180527,30.63718421,952,104.0160584,30.63558542,260.6296374
5067,1736,104.0827149,30.65151133,953,104.085206,30.6563458,586.5620605
5068,1578,104.0863404,30.65755893,953,104.085206,30.6563458,172.8914334
5069,1186,104.1258146,30.60938695,955,104.1276807,30.60790258,243.0296828
5070,1234,104.1304402,30.61020532,955,104.1276807,30.60790258,367.5642411
5071,1361,104.0202459,30.68950455,956,104.0220874,30.69179222,308.8625764
5072,1546,104.0240807,30.69024439,956,104.0220874,30.69179222,256.671606
5073,1182,104.0771725,30.70831924,957,104.0778861,30.70836235,68.50174549
5074,1304,104.0780641,30.71194952,957,104.0778861,30.70836235,397.9340822
5075,979,103.9963677,30.67454556,958,103.9967636,30.67595381,160.6231128
5076,1007,103.9921507,30.6764134,958,103.9967636,30.67595381,444.8392557
5077,1100,104.1035631,30.66005367,960,104.1037376,30.66420395,460.277135
5078,1316,104.1082024,30.66401277,960,104.1037376,30.66420395,428.2885069
5079,1428,104.102687,30.66733134,960,104.1037376,30.66420395,360.9261362
5080,1094,104.0378111,30.61174835,961,104.0383729,30.61306544,155.5899644
5081,1126,104.070717,30.59686374,962,104.072884,30.59762255,224.1284404
5082,1114,104.0715673,30.60028405,962,104.072884,30.59762255,320.8454199
5083,1421,104.0346961,30.69806312,963,104.0367435,30.70041989,326.6158913
5084,1675,104.0400369,30.70247519,963,104.0367435,30.70041989,389.0715425
5085,1116,104.0818796,30.69184404,964,104.084483,30.69566169,491.1197448
5086,1366,104.0787152,30.69703746,964,104.084483,30.69566169,573.0752289
5087,1077,103.9935681,30.64596869,965,103.9914975,30.64819486,316.6144048
5088,987,104.0248174,30.63544404,966,104.0225494,30.63101898,536.4405259
5089,1467,104.0895768,30.6755439,967,104.0903608,30.67653969,133.4917396
5090,1406,104.0925699,30.67906708,967,104.0903608,30.67653969,351.0632951
5091,1191,104.0514275,30.61130347,968,104.0550112,30.61128466,343.5423865
5092,1108,104.083316,30.61359505,969,104.0790641,30.61458745,422.1491944
5093,1102,104.0796812,30.61696945,969,104.0790641,30.61458745,270.5399741
5094,1241,104.0008267,30.68310339,970,104.0021305,30.68485942,231.2503812
5095,1405,104.0066113,30.6827291,970,104.0021305,30.68485942,489.8710869
5096,1289,104.0742058,30.71862667,971,104.0780206,30.71824697,367.7027492
5097,1435,104.0058299,30.66758867,973,104.0064463,30.67175686,465.7265379
5098,1739,104.0014678,30.67222384,973,104.0064463,30.67175686,479.7478001
5099,1493,104.0072364,30.67483213,973,104.0064463,30.67175686,349.1433554
5100,1364,104.0726607,30.64669137,974,104.0725542,30.64772127,114.5981634
5101,1094,104.0378111,30.61174835,975,104.0364116,30.60942077,290.7659296
5102,1780,104.1362858,30.62448308,976,104.1352438,30.6229403,198.0154805
5103,1450,104.0038276,30.70658516,977,104.0013005,30.71088213,534.2055542
5104,1462,104.0054097,30.71258206,977,104.0013005,30.71088213,436.2835308
5105,1284,104.1072861,30.68493691,978,104.1032838,30.68263455,460.5331752
5106,1135,104.0511249,30.65673632,980,104.0526638,30.65918799,309.1482962
5107,1797,104.0549972,30.65769089,980,104.0526638,30.65918799,278.4213024
5108,1825,104.0533352,30.66116566,980,104.0526638,30.65918799,228.4313563
5109,1584,104.0684967,30.6609573,981,104.0684967,30.66259625,181.6454605
5110,1647,104.0697571,30.6627216,981,104.0684967,30.66259625,121.5546234
5111,1045,104.0551975,30.60075578,982,104.0517689,30.6005863,329.2493272
5112,1132,104.1174936,30.62128941,983,104.11696,30.62233282,126.4427488
5113,1326,104.1187349,30.62386306,983,104.11696,30.62233282,240.2172069
5114,1225,104.0172991,30.67702217,984,104.0192148,30.68133741,512.2641865
5115,1096,104.0229629,30.68025139,984,104.0192148,30.68133741,378.6825966
5116,1164,104.1118347,30.71478063,985,104.12515,30.71284665,1292.936406
5117,1014,103.9936314,30.64138601,986,103.9960972,30.63746196,494.9595688
5118,1249,104.0270208,30.63699331,987,104.0248174,30.63544404,272.1732689
5119,1023,104.1288196,30.6700879,988,104.1289722,30.66742428,295.5676572
5120,1087,104.0521039,30.58111487,989,104.0574511,30.58122199,512.876548
5121,1161,104.0575483,30.58488558,989,104.0574511,30.58122199,406.1391091
5122,1039,104.1040346,30.59590093,990,104.10386,30.59804157,237.8331989
5123,1327,104.1068588,30.59843923,990,104.10386,30.59804157,290.8620661
5124,1696,104.0165822,30.68915906,991,104.0121158,30.69204887,534.4137894
5125,1169,104.01322,30.69418719,991,104.0121158,30.69204887,259.5193221
5126,1567,104.0087919,30.69447168,991,104.0121158,30.69204887,416.4919821
5127,1128,104.1028346,30.72097893,992,104.1128505,30.72010892,963.8684522
5128,1084,103.9903198,30.6638787,993,103.9888739,30.66393196,138.6576128
5129,1592,104.0640898,30.63580183,994,104.058489,30.63572687,536.8307915
5130,1330,104.058422,30.63692932,994,104.058489,30.63572687,133.4223073
5131,1635,104.0954487,30.66752479,995,104.0982797,30.66840388,288.1881173
5132,1860,104.0991842,30.66615627,995,104.0982797,30.66840388,263.744653
5133,1671,104.1018746,30.6694368,995,104.0982797,30.66840388,362.931564
5134,1706,104.0974457,30.67052751,995,104.0982797,30.66840388,248.5542772
5135,1204,104.0746665,30.6189463,997,104.0743822,30.6227454,421.9323369
5136,1303,104.0290806,30.69429393,998,104.0310372,30.69599301,265.6652349
5137,1314,104.1104323,30.70648699,999,104.1116379,30.71228749,653.154712
5138,1358,104.106758,30.71287932,999,104.1116379,30.71228749,471.8861878
5139,1164,104.1118347,30.71478063,999,104.1116379,30.71228749,276.9563468
5140,1098,103.9777133,30.67160147,1000,103.9857416,30.67072388,775.2590556
5141,1159,104.0015131,30.64226997,1001,104.0043975,30.64251888,277.7837356
5142,1887,104.0086395,30.63769829,1001,104.0043975,30.64251888,671.3528571
5143,1819,104.0030692,30.64685288,1001,104.0043975,30.64251888,496.9226817
5144,1844,104.1007334,30.62658897,1002,104.0995887,30.62730653,135.5061889
5145,1017,104.0431223,30.62203953,1003,104.0428371,30.62053527,168.94426
5146,1328,104.0321046,30.68820264,1005,104.0290737,30.69002869,353.8926153
5147,1027,104.0707428,30.69704092,1006,104.0729201,30.69705475,208.5423581
